GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Packer Maven Plugin,io.github.miquelo.tools.packer,PackerOutputReaderTask,0,108,0,2,0,28,0,8,0,7
Packer Maven Plugin,io.github.miquelo.tools.packer,PackerCommandTask,58,365,9,25,13,86,10,22,3,12
Packer Maven Plugin,io.github.miquelo.tools.packer,PackerCommandFailureCode,0,14,0,0,0,2,0,1,0,1
Packer Maven Plugin,io.github.miquelo.tools.packer,UnixProcessWrapper,0,187,0,4,0,40,0,18,0,16
Packer Maven Plugin,io.github.miquelo.tools.packer,RelevantTimeoutHandler,0,82,0,9,0,25,0,14,0,7
Packer Maven Plugin,io.github.miquelo.tools.packer,PackerCommandResultImpl,0,74,0,6,0,25,0,8,0,5
Packer Maven Plugin,io.github.miquelo.tools.packer,PackerCommandFailureException,0,19,0,0,0,4,0,2,0,2
Packer Maven Plugin,io.github.miquelo.tools.packer,IrrelevantTimeoutHandler,0,13,0,0,0,5,0,5,0,5
Packer Maven Plugin,io.github.miquelo.tools.packer,PackerOutputMessageImpl,0,34,0,0,0,10,0,5,0,5
Packer Maven Plugin,io.github.miquelo.tools.packer,DefaultProcessLauncher,0,34,0,0,0,10,0,6,0,6
Packer Maven Plugin,io.github.miquelo.tools.packer,PackerCommandException,0,13,0,0,0,6,0,3,0,3
Packer Maven Plugin,io.github.miquelo.tools.packer,PackerExecution,0,97,0,6,0,26,0,7,0,4
Packer Maven Plugin,io.github.miquelo.tools.packer,UnixProcessLauncher,0,38,0,0,0,11,0,4,0,4
Packer Maven Plugin,io.github.miquelo.tools.packer,AbstractProcessLauncher,0,27,0,0,0,13,0,2,0,2
Packer Maven Plugin,io.github.miquelo.tools.packer.commands,PackerBuildCommand,397,0,16,0,92,0,28,0,20,0
Packer Maven Plugin,io.github.miquelo.tools.packer.commands,UncheckedNoSuchAlgorithmException,8,0,0,0,3,0,2,0,2,0
Packer Maven Plugin,io.github.miquelo.tools.packer.commands,ChecksumEntry,86,0,8,0,16,0,11,0,7,0
Packer Maven Plugin,io.github.miquelo.maven.plugin.packer,AbstractPackerMojo.MojoPackerCommandLogger,50,0,0,0,15,0,7,0,7,0
Packer Maven Plugin,io.github.miquelo.maven.plugin.packer,PackerBuildMojo,194,0,9,0,52,0,17,0,12,0
Packer Maven Plugin,io.github.miquelo.maven.plugin.packer,AbstractPackerMojo,62,0,2,0,19,0,3,0,2,0
